;;;;;;;;;;;;;;;
;High;Low;Close;TR;+DM 1;-DM 1;TR14;+DM14;-DM14;+DI14;-DI14;DI 14 Diff;DI 14 Sum;DX;ADX
25 de oct de 10;52,23;51,85;51,89; 0,59 ;0,54;0,00;10,11;3,15;1,68;31,20;16,66;14,55;47,86;30,40;24,46
26 de oct de 10;52,15;51,42;52,03; 0,73 ;0,00;0,43;10,12;2,93;1,99;28,95;19,70;9,25;48,66;19,01;24,07
27 de oct de 10;52,23;51,66;52,19; 0,57 ;0,08;0,00;9,96;2,80;1,85;28,10;18,58;9,52;46,68;20,40;23,81
28 de oct de 10;52,45;51,84;52,3; 0,61 ;0,22;0,00;9,86;2,82;1,72;28,59;17,43;11,16;46,02;24,26;23,84
29 de oct de 10;52,49;52,1698;52,18; 0,32 ;0,04;0,00;9,48;2,66;1,60;28,05;16,84;11,21;44,89;24,97;23,92
1 de nov de 10;52,75;51,98;52,22; 0,77 ;0,26;0,00;9,57;2,73;1,48;28,51;15,48;13,02;43,99;29,60;24,33
2 de nov de 10;52,93;52,575;52,78; 0,71 ;0,18;0,00;9,60;2,71;1,38;28,27;14,34;13,94;42,61;32,70;24,92
3 de nov de 10;53,04;52,36;53,02; 0,68 ;0,00;0,22;9,59;2,52;1,49;26,27;15,56;10,71;41,83;25,59;24,97
4 de nov de 10;53,8614;53,5;53,67; 0,84 ;0,82;0,00;9,75;3,16;1,39;32,43;14,22;18,21;46,65;39,03;25,98
5 de nov de 10;53,81;53,51;53,67; 0,30 ;0,00;0,00;9,35;2,94;1,29;31,39;13,76;17,62;45,15;39,03;26,91
8 de nov de 10;53,83;53,4499;53,7375; 0,38 ;0,00;0,06;9,06;2,73;1,26;30,07;13,85;16,22;43,92;36,93;27,62
9 de nov de 10;54,0401;53,21;53,45; 0,83 ;0,00;0,24;9,25;2,53;1,41;27,37;15,20;12,17;42,57;28,59;27,69
10 de nov de 10;53,77;53,1;53,715; 0,67 ;0,00;0,11;9,26;2,35;1,42;25,39;15,29;10,10;40,68;24,83;27,49
11 de nov de 10;53,48;52,66;53,385; 1,06 ;0,00;0,44;9,65;2,18;1,75;22,62;18,18;4,44;40,79;10,88;26,30
